SOLVER,BENCHMARK,DESC,STATUS
Imandra,list/pref_1var_4_8occ/40,,FAILED
Imandra,list/pref_1var_4_8occ/41,,FAILED
Imandra,list/pref_1var_4_8occ/42,,FAILED
Imandra,list/pref_1var_4_8occ/43,,FAILED
Imandra,list/pref_1var_4_8occ/44,,FAILED
Imandra,list/pref_1var_4_8occ/45,,FAILED
Imandra,list/pref_1var_4_8occ/46,,FAILED
Imandra,list/pref_1var_4_8occ/47,,FAILED
Imandra,list/pref_1var_4_8occ/48,,FAILED
Imandra,list/pref_1var_4_8occ/49,,FAILED
Imandra,list/pref_1var_4_8occ/5,,FAILED
Imandra,list/pref_1var_4_8occ/6,,FAILED
Imandra,list/pref_1var_4_8occ/7,,FAILED
Imandra,list/pref_1var_4_8occ/8,,FAILED
Imandra,list/pref_1var_4_8occ/9,,FAILED
Imandra,list/pref_1var_5_9occ/0,,FAILED
Imandra,list/pref_1var_5_9occ/1,,FAILED
Imandra,list/pref_1var_5_9occ/10,,FAILED
Imandra,list/pref_1var_5_9occ/11,,FAILED
Imandra,list/pref_1var_5_9occ/12,,FAILED
Imandra,list/pref_1var_5_9occ/13,,FAILED
Imandra,list/pref_1var_5_9occ/14,,FAILED
Imandra,list/pref_1var_5_9occ/15,,FAILED
Imandra,list/pref_1var_5_9occ/16,,FAILED
Imandra,list/pref_1var_5_9occ/17,,FAILED
Imandra,list/pref_1var_5_9occ/18,,FAILED
Imandra,list/pref_1var_5_9occ/19,,FAILED
Imandra,list/pref_1var_5_9occ/2,,FAILED
Imandra,list/pref_1var_5_9occ/20,,FAILED
Imandra,list/pref_1var_5_9occ/21,,FAILED
Imandra,list/pref_1var_5_9occ/22,,FAILED
Imandra,list/pref_1var_5_9occ/23,,FAILED
Imandra,list/pref_1var_5_9occ/24,,FAILED
Imandra,list/pref_1var_5_9occ/25,,FAILED
Imandra,list/pref_1var_5_9occ/26,,FAILED
Imandra,list/pref_1var_5_9occ/27,,FAILED
Imandra,list/pref_1var_5_9occ/28,,FAILED
Imandra,list/pref_1var_5_9occ/29,,FAILED
Imandra,list/pref_1var_5_9occ/3,,FAILED
Imandra,list/pref_1var_5_9occ/30,,FAILED
Imandra,list/pref_1var_5_9occ/31,,FAILED
Imandra,list/pref_1var_5_9occ/32,,FAILED
Imandra,list/pref_1var_5_9occ/33,,FAILED
Imandra,list/pref_1var_5_9occ/34,,FAILED
Imandra,list/pref_1var_5_9occ/35,,FAILED
Imandra,list/pref_1var_5_9occ/36,,FAILED
Imandra,list/pref_1var_5_9occ/37,,FAILED
Imandra,list/pref_1var_5_9occ/38,,FAILED
Imandra,list/pref_1var_5_9occ/39,,FAILED
Imandra,list/pref_1var_5_9occ/4,,FAILED
Imandra,list/pref_1var_5_9occ/40,,FAILED
Imandra,list/pref_1var_5_9occ/41,,FAILED
Imandra,list/pref_1var_5_9occ/42,,FAILED
Imandra,list/pref_1var_5_9occ/43,,FAILED
Imandra,list/pref_1var_5_9occ/44,,FAILED
Imandra,list/pref_1var_5_9occ/45,,FAILED
Imandra,list/pref_1var_5_9occ/46,,FAILED
Imandra,list/pref_1var_5_9occ/47,,FAILED
Imandra,list/pref_1var_5_9occ/48,,FAILED
Imandra,list/pref_1var_5_9occ/49,,FAILED
Imandra,list/pref_1var_5_9occ/5,,FAILED
Imandra,list/pref_1var_5_9occ/6,,FAILED
Imandra,list/pref_1var_5_9occ/7,,FAILED
Imandra,list/pref_1var_5_9occ/8,,FAILED
Imandra,list/pref_1var_5_9occ/9,,FAILED
Imandra,list/concat_assoc_1var_6occ/0,,FAILED
Imandra,list/concat_assoc_1var_6occ/1,,FAILED
Imandra,list/concat_assoc_1var_6occ/10,,FAILED
Imandra,list/concat_assoc_1var_6occ/11,,FAILED
Imandra,list/concat_assoc_1var_6occ/12,,FAILED
Imandra,list/concat_assoc_1var_6occ/13,,FAILED
Imandra,list/concat_assoc_1var_6occ/14,,FAILED
Imandra,list/concat_assoc_1var_6occ/15,,FAILED
Imandra,list/concat_assoc_1var_6occ/16,,FAILED
Imandra,list/concat_assoc_1var_6occ/17,,FAILED
Imandra,list/concat_assoc_1var_6occ/18,,FAILED
Imandra,list/concat_assoc_1var_6occ/19,,FAILED
Imandra,list/concat_assoc_1var_6occ/2,,FAILED
Imandra,list/concat_assoc_1var_6occ/20,,FAILED
Imandra,list/concat_assoc_1var_6occ/21,,FAILED
Imandra,list/concat_assoc_1var_6occ/22,,FAILED
Imandra,list/concat_assoc_1var_6occ/23,,FAILED
Imandra,list/concat_assoc_1var_6occ/24,,FAILED
Imandra,list/concat_assoc_1var_6occ/25,,FAILED
Imandra,list/concat_assoc_1var_6occ/26,,FAILED
Imandra,list/concat_assoc_1var_6occ/27,,FAILED
Imandra,list/concat_assoc_1var_6occ/28,,FAILED
Imandra,list/concat_assoc_1var_6occ/29,,FAILED
Imandra,list/concat_assoc_1var_6occ/3,,FAILED
Imandra,list/concat_assoc_1var_6occ/30,,FAILED
Imandra,list/concat_assoc_1var_6occ/31,,FAILED
Imandra,list/concat_assoc_1var_6occ/32,,FAILED
Imandra,list/concat_assoc_1var_6occ/33,,FAILED
Imandra,list/concat_assoc_1var_6occ/34,,FAILED
Imandra,list/concat_assoc_1var_6occ/35,,FAILED
Imandra,list/concat_assoc_1var_6occ/36,,FAILED
Imandra,list/concat_assoc_1var_6occ/37,,FAILED
Imandra,list/concat_assoc_1var_6occ/38,,FAILED
Imandra,list/concat_assoc_1var_6occ/39,,FAILED
Imandra,list/concat_assoc_1var_6occ/4,,FAILED
Imandra,list/concat_assoc_1var_6occ/40,,FAILED
Imandra,list/concat_assoc_1var_6occ/41,,FAILED
Imandra,list/concat_assoc_1var_6occ/42,,FAILED
Imandra,list/concat_assoc_1var_6occ/43,,FAILED
Imandra,list/concat_assoc_1var_6occ/44,,FAILED
Imandra,list/concat_assoc_1var_6occ/45,,FAILED
Imandra,list/concat_assoc_1var_6occ/46,,FAILED
Imandra,list/concat_assoc_1var_6occ/47,,FAILED
Imandra,list/concat_assoc_1var_6occ/48,,FAILED
Imandra,list/concat_assoc_1var_6occ/49,,FAILED
Imandra,list/concat_assoc_1var_6occ/5,,FAILED
Imandra,list/concat_assoc_1var_6occ/6,,FAILED
Imandra,list/concat_assoc_1var_6occ/7,,FAILED
Imandra,list/concat_assoc_1var_6occ/8,,FAILED
Imandra,list/concat_assoc_1var_6occ/9,,FAILED
Imandra,list/pref_1var_4_6occ/0,,FAILED
Imandra,list/pref_1var_4_6occ/1,,FAILED
Imandra,list/pref_1var_4_6occ/10,,FAILED
Imandra,list/pref_1var_4_6occ/11,,FAILED
Imandra,list/pref_1var_4_6occ/12,,FAILED
