SOLVER,BENCHMARK,DESC,STATUS
ZipRewrite,list/pref_1var_5_8occ/47,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/48,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/49,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/5,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/6,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/7,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/8,,SOLVED
ZipRewrite,list/pref_1var_5_8occ/9,,SOLVED
ZipRewrite,list/concat_assoc_1var_4occ/0,,SOLVED
ZipRewrite,list/concat_assoc_1var_4occ/1,,SOLVED
ZipRewrite,list/concat_assoc_1var_4occ/2,,SOLVED
ZipRewrite,list/concat_assoc_1var_4occ/3,,SOLVED
ZipRewrite,list/concat_assoc_1var_4occ/4,,SOLVED
ZipRewrite,list/concat_assoc_1var_4occ/5,,SOLVED
ZipRewrite,list/concat_assoc_1var_4occ/6,,SOLVED
ZipRewrite,list/concat_assoc_1var_4occ/7,,SOLVED
ZipRewrite,list/concat_assoc_1var_4occ/8,,SOLVED
ZipRewrite,list/concat_assoc_1var_4occ/9,,SOLVED
ZipRewrite,list/pref_1var_1_5occ/0,,SOLVED
ZipRewrite,list/pref_1var_1_5occ/1,,SOLVED
ZipRewrite,list/pref_1var_1_5occ/10,,SOLVED
ZipRewrite,list/pref_1var_1_5occ/11,,SOLVED
ZipRewrite,list/pref_1var_1_5occ/12,,SOLVED
ZipRewrite,list/pref_1var_1_5occ/13,,SOLVED
ZipRewrite,list/pref_1var_1_5occ/2,,SOLVED
ZipRewrite,list/pref_1var_1_5occ/3,,SOLVED
ZipRewrite,list/pref_1var_1_5occ/4,,SOLVED
ZipRewrite,list/pref_1var_1_5occ/5,,SOLVED
ZipRewrite,list/pref_1var_1_5occ/6,,SOLVED
ZipRewrite,list/pref_1var_1_5occ/7,,SOLVED
ZipRewrite,list/pref_1var_1_5occ/8,,SOLVED
ZipRewrite,list/pref_1var_1_5occ/9,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/0,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/1,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/10,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/11,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/12,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/13,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/14,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/15,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/16,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/17,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/18,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/19,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/2,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/20,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/21,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/22,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/23,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/24,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/25,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/26,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/27,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/28,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/29,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/3,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/30,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/31,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/32,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/33,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/34,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/35,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/36,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/37,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/38,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/39,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/4,,SOLVED
ZipRewrite,list/pref_1var_4_8occ/40,,SOLVED
