SOLVER,BENCHMARK,DESC,STATUS
Vampire_gx,list/pref_1var_2_4occ/0,|$\forall v_{0}.pref(v_{0} \append v_{0},(v_{0} \append v_{0}) \append (v_{0} \append v_{0}))$|,FAILED
Vampire_gx,list/pref_1var_2_4occ/1,|$\forall v_{0}.pref(v_{0} \append v_{0},(v_{0} \append (v_{0} \append v_{0})) \append v_{0})$|,FAILED
Vampire_gx,list/pref_1var_2_4occ/2,|$\forall v_{0}.pref(v_{0} \append v_{0},((v_{0} \append v_{0}) \append v_{0}) \append v_{0})$|,FAILED
Vampire_gx,list/pref_1var_2_4occ/3,|$\forall v_{0}.pref(v_{0} \append v_{0},v_{0} \append (v_{0} \append (v_{0} \append v_{0})))$|,FAILED
Vampire_gx,list/pref_1var_2_4occ/4,|$\forall v_{0}.pref(v_{0} \append v_{0},v_{0} \append ((v_{0} \append v_{0}) \append v_{0}))$|,FAILED
Vampire_gx,list/pref_1var_2_3occ/0,|$\forall v_{0}.pref(v_{0} \append v_{0},(v_{0} \append v_{0}) \append v_{0})$|,FAILED
Vampire_gx,list/pref_1var_2_3occ/1,|$\forall v_{0}.pref(v_{0} \append v_{0},v_{0} \append (v_{0} \append v_{0}))$|,FAILED
Vampire_gx,list/pref_1var_5_8occ/0,|$\forall v_{0}.pref((v_{0} \append (v_{0} \append v_{0})) \append (v_{0} \append v_{0}),(v_{0} \append v_{0}) \append ((v_{0} \append v_{0}) \append ((v_{0} \append v_{0}) \append (v_{0} \append v_{0}))))$|,FAILED
Vampire_gx,list/pref_1var_5_8occ/1,|$\forall v_{0}.pref(v_{0} \append ((v_{0} \append (v_{0} \append v_{0})) \append v_{0}),(((v_{0} \append v_{0}) \append v_{0}) \append ((v_{0} \append v_{0}) \append v_{0})) \append (v_{0} \append v_{0}))$|,FAILED
Vampire_gx,list/pref_1var_5_8occ/10,|$\forall v_{0}.pref((v_{0} \append v_{0}) \append ((v_{0} \append v_{0}) \append v_{0}),(v_{0} \append v_{0}) \append ((v_{0} \append v_{0}) \append ((v_{0} \append (v_{0} \append v_{0})) \append v_{0})))$|,FAILED
Vampire_gx,list/pref_1var_5_8occ/11,|$\forall v_{0}.pref((v_{0} \append v_{0}) \append (v_{0} \append (v_{0} \append v_{0})),((v_{0} \append v_{0}) \append v_{0}) \append (v_{0} \append (v_{0} \append (v_{0} \append (v_{0} \append v_{0})))))$|,FAILED
Vampire_gx,list/pref_1var_5_8occ/12,|$\forall v_{0}.pref((v_{0} \append (v_{0} \append v_{0})) \append (v_{0} \append v_{0}),((v_{0} \append v_{0}) \append v_{0}) \append (((v_{0} \append (v_{0} \append v_{0})) \append v_{0}) \append v_{0}))$|,FAILED
Vampire_gx,list/pref_1var_5_8occ/13,|$\forall v_{0}.pref(v_{0} \append ((v_{0} \append v_{0}) \append (v_{0} \append v_{0})),v_{0} \append (((v_{0} \append v_{0}) \append (v_{0} \append v_{0})) \append (v_{0} \append (v_{0} \append v_{0}))))$|,FAILED
Vampire_gx,list/pref_1var_5_8occ/14,|$\forall v_{0}.pref((v_{0} \append v_{0}) \append (v_{0} \append (v_{0} \append v_{0})),v_{0} \append ((((v_{0} \append v_{0}) \append v_{0}) \append v_{0}) \append (v_{0} \append (v_{0} \append v_{0}))))$|,FAILED
Vampire_gx,list/pref_1var_5_8occ/15,|$\forall v_{0}.pref((v_{0} \append v_{0}) \append (v_{0} \append (v_{0} \append v_{0})),(v_{0} \append v_{0}) \append ((v_{0} \append (v_{0} \append v_{0})) \append ((v_{0} \append v_{0}) \append v_{0})))$|,FAILED
Vampire_gx,list/pref_1var_5_8occ/16,|$\forall v_{0}.pref(((v_{0} \append (v_{0} \append v_{0})) \append v_{0}) \append v_{0},((v_{0} \append v_{0}) \append (v_{0} \append (v_{0} \append v_{0}))) \append ((v_{0} \append v_{0}) \append v_{0}))$|,FAILED
Vampire_gx,list/pref_1var_5_8occ/17,|$\forall v_{0}.pref((v_{0} \append v_{0}) \append ((v_{0} \append v_{0}) \append v_{0}),((v_{0} \append v_{0}) \append ((v_{0} \append (v_{0} \append v_{0})) \append (v_{0} \append v_{0}))) \append v_{0})$|,FAILED
Vampire_gx,list/pref_1var_5_8occ/18,|$\forall v_{0}.pref((v_{0} \append (v_{0} \append v_{0})) \append (v_{0} \append v_{0}),(((v_{0} \append v_{0}) \append v_{0}) \append (v_{0} \append (v_{0} \append v_{0}))) \append (v_{0} \append v_{0}))$|,FAILED
Vampire_gx,list/pref_1var_5_8occ/19,|$\forall v_{0}.pref((v_{0} \append (v_{0} \append v_{0})) \append (v_{0} \append v_{0}),v_{0} \append ((v_{0} \append (v_{0} \append v_{0})) \append ((v_{0} \append (v_{0} \append v_{0})) \append v_{0})))$|,FAILED
Vampire_gx,list/pref_1var_5_8occ/2,|$\forall v_{0}.pref((v_{0} \append v_{0}) \append (v_{0} \append (v_{0} \append v_{0})),v_{0} \append ((v_{0} \append ((v_{0} \append v_{0}) \append (v_{0} \append v_{0}))) \append (v_{0} \append v_{0})))$|,FAILED
