SOLVER,BENCHMARK,DESC,STATUS
ZipRewrite,tree/flatten0_flatten2/0,,FAILED
ZipRewrite,tree/flatten0_rotate_5var/0,,FAILED
ZipRewrite,tree/flatten0_rotate_3var/0,,FAILED
