SOLVER,BENCHMARK,DESC,STATUS
Zeno,tree/flatten0_flatten2/0,,FAILED
Zeno,tree/flatten0_rotate_5var/0,,SOLVED
Zeno,tree/flatten0_rotate_3var/0,,FAILED
