SOLVER,BENCHMARK,DESC,STATUS
Vampire_gx,tree/flatten0_flatten2/0,|$\forall t,l.(flatten0(t) \append l = flatten2(t,l))$|,FAILED
Vampire_gx,tree/flatten0_rotate_5var/0,|$\forall p,q,r,x,y.(flatten0(node(node(p,x,q),y,r)) = flatten0(node(p,x,node(q,y,r))))$|,FAILED
Vampire_gx,tree/flatten0_rotate_3var/0,|$\forall p,x,y.(flatten0(node(node(p,x,p),y,p)) = flatten0(node(p,x,node(p,y,p))))$|,FAILED
